Season,Slot,Strongseed,Weakseed
2017,R1E1,E01,E16
2017,R1E2,E02,E15
2017,R1E3,E03,E14
2017,R1E4,E04,E13
2017,R1E5,E05,E12
2017,R1E6,E06,E11
2017,R1E7,E07,E10
2017,R1E8,E08,E09
2017,R1S1,S01,S16
2017,R1S2,S02,S15
2017,R1S3,S03,S14
2017,R1S4,S04,S13
2017,R1S5,S05,S12
2017,R1S6,S06,S11
2017,R1S7,S07,S10
2017,R1S8,S08,S09
2017,R1M1,M01,M16
2017,R1M2,M02,M15
2017,R1M3,M03,M14
2017,R1M4,M04,M13
2017,R1M5,M05,M12
2017,R1M6,M06,M11
2017,R1M7,M07,M10
2017,R1M8,M08,M09
2017,R1W1,W01,W16
2017,R1W2,W02,W15
2017,R1W3,W03,W14
2017,R1W4,W04,W13
2017,R1W5,W05,W12
2017,R1W6,W06,W11
2017,R1W7,W07,W10
2017,R1W8,W08,W09
2017,R2E1,R1E1,R1E8
2017,R2E2,R1E2,R1E7
2017,R2E3,R1E3,R1E6
2017,R2E4,R1E4,R1E5
2017,R2S1,R1S1,R1S8
2017,R2S2,R1S2,R1S7
2017,R2S3,R1S3,R1S6
2017,R2S4,R1S4,R1S5
2017,R2M1,R1M1,R1M8
2017,R2M2,R1M2,R1M7
2017,R2M3,R1M3,R1M6
2017,R2M4,R1M4,R1M5
2017,R2W1,R1W1,R1W8
2017,R2W2,R1W2,R1W7
2017,R2W3,R1W3,R1W6
2017,R2W4,R1W4,R1W5
2017,R3E1,R2E1,R2E4
2017,R3E2,R2E2,R2E3
2017,R3S1,R2S1,R2S4
2017,R3S2,R2S2,R2S3
2017,R3M1,R2M1,R2M4
2017,R3M2,R2M2,R2M3
2017,R3W1,R2W1,R2W4
2017,R3W2,R2W2,R2W3
2017,R4E1,R3E1,R3E2
2017,R4S1,R3S1,R3S2
2017,R4M1,R3M1,R3M2
2017,R4W1,R3W1,R3W2
2017,R5ES,R4E1,R4S1
2017,R5MW,R4M1,R4W1
2017,R6CH,R5ES,R5MW
